Question_EN,Question_TL,Answer,Source,Category
What are the implications of renaming a public school to have historical and cultural significance according to the guidelines?,Ano ang mga implikasyon ng pagpapalit ng pangalan ng isang pampublikong paaralan upang magkaroon ng pangkasaysayan at kultural na kahalagahan ayon sa mga gabay?,"Renaming a public school to have historical and cultural significance can strengthen national pride by associating the institution with prominent figures or events in history. It serves as a reminder of important values and contributions made by individuals, such as Jose Rizal, who emphasized the importance of education as a foundation for societal progress. This action can also inspire students and the community to uphold the example set by the name bearer and can enhance the school's identity and reputation within the community.","SP-3072, S-2021",Preamble
What are the financial implications for the city of merging Leandro Locsin Integrated School and Kaligayahan Elementary School?,Ano ang mga implikasyon sa pananalapi para sa lungsod ng pagsasama ng Leandro Locsin Integrated School at Kaligayahan Elementary School?,"The financial implications for the city include the need for supplemental funds for the construction, maintenance, and operation of the merged school, which will be sourced from the Special Education Funds of Quezon City or any other available city funds.","SP-3111, S-2022",Operative
What incentives are provided to the top graduating students from public schools in Quezon City for their academic achievements?,Anong mga insentibo ang ibinibigay sa mga pinakamataas na nagtapos na estudyante mula sa pampublikong paaralan sa Quezon City para sa kanilang mga tagumpay sa akademiko?,"The top 3 graduating learners in the Grade 6 and Grade 12 levels in public elementary and secondary schools in Quezon City are provided monetary incentives based on their general average. For Grade 6, the incentives are Php5,000 for the first highest general average, Php3,000 for the second, and Php2,000 for the third. For Grade 12, the incentives are Php10,000 for the first highest general average, Php6,000 for the second, and Php4,000 for the third.","SP-3129, S-2022",Operative
What is the significance of merging the Barangay Operations Center and Community Relations Office into a single department?,Ano ang kahalagahan ng pagsasama ng Barangay Operations Center at Community Relations Office sa iisang departamento?,"The merging of the Barangay Operations Center and the Community Relations Office into the Barangay and Community Relations Department aims to streamline operations, enhance efficiency, and potentially improve the delivery of services to the community by consolidating resources and efforts under a unified department.","SP-7924, S-2019",Preamble
What are the implications of exempting Megaworld Corporation and Hidilyn Francisco Diaz from local taxes and fees on the donation transfer and registration in Quezon City?,Ano ang mga implikasyon ng pag-exempt sa Megaworld Corporation at Hidilyn Francisco Diaz mula sa mga lokal na buwis at bayarin sa paglipat at pagpaparehistro ng donasyon sa Quezon City?,"The ordinance exempts Megaworld Corporation and Hidilyn Francisco Diaz from the payment of local taxes and fees that are typically assessed during the transfer and registration of a property donation, such as in this case, the condominium unit gifted to Ms. Diaz. This exemption aims to encourage support for athletes and recognizes the donor's generosity. It's important to note that this exemption does not cover national taxes or other taxes like the annual real property tax.","SP-3038, S-2021",Operative
What is the benefit for businesses that pay their taxes in full at the start of the year according to this ordinance?,Ano ang benepisyo para sa mga negosyo na nagbabayad ng buo nilang buwis sa simula ng taon ayon sa ordinansang ito?,"According to this ordinance, businesses that pay their taxes in full for the entire calendar year within the first 20 days of the year are entitled to a 10% discount on their total business taxes for that year. However, this discount is not available to taxpayers who have any pending tax obligations to the city unless these obligations are fully settled.","SP-1086, S-2001",Operative
What are the repercussions for establishments in Quezon City if they violate the sanitation regulations outlined in the Revised Sanitation Code?,Ano ang mga magiging epekto para sa mga establisimyento sa Quezon City kung lumabag sila sa mga regulasyon ng sanitasyon na nakasaad sa Revised Sanitation Code?,"Establishments in Quezon City that violate the sanitation regulations will face fines and other penalties. A first offense will result in a fine of Three Thousand Pesos (Php3,000.00) and the confiscation of products. A second offense will lead to a fine of Four Thousand Pesos (Php4,000.00) and the QCHD will recommend to the BPLO the issuance of a cease and desist order. A third offense will incur a fine of Five Thousand Pesos (Php5,000.00) and the QCHD will recommend the permanent closure of the establishment to the BPLO.","SP-2503, S-2016",Operative
What does the amendment to the address in the title of the ordinance imply for the subdivision plan approval process?,Ano ang implikasyon ng pag-aayos ng address sa pamagat ng ordinansa para sa proseso ng pag-apruba ng plano ng subdibisyon?,"The amendment to the address in the title of the ordinance clarifies the location of the subdivision plan, changing ""Tandang Sora Street"" to ""Tandang Sora Avenue"". This correction is necessary to ensure that the documentation accurately reflects the legal and physical location of the property, which is crucial for the approval and implementation of the subdivision plan.","SP-3156, S-2022",Preamble
What is the implication of issuing a Certificate of Exception for the construction of a building that deviates from the zoning ordinance?,Ano ang implikasyon ng pag-isyu ng Certificate of Exception para sa pagtatayo ng gusali na lumilihis sa zoning ordinance?,"Issuing a Certificate of Exception allows a construction project to proceed even if it does not fully comply with existing zoning ordinances. This means that the building can be developed in a manner that deviates from the stipulated zoning regulations, which could lead to changes in land use planning and possible impacts on the surrounding area's development guidelines and community standards.","SP-8998, S-2022",Introduction
"What is the purpose of establishing city-operated TESDA Registered Training and Accredited Competency Assessment Centers in Quezon City, and who are intended to benefit from these centers?","Ano ang layunin ng pagtatatag ng mga TESDA Registered Training at Accredited Competency Assessment Centers na pinatatakbo ng lungsod sa Quezon City, at sino ang inaasahang makinabang dito?","The purpose of establishing these city-operated TESDA Registered Training and Accredited Competency Assessment Centers is to provide technical-vocational education and training (TVET) programs and competency assessments. These centers aim to benefit out-of-school youth, public school teachers and students, and residents from indigent families by empowering them with skills useful for productive participation in society and the economy.","SP-3118, S-2022",Operative
"What is the implication of authorizing the city mayor to expropriate land for a public project, such as erecting a shrine?","Ano ang magiging epekto ng pagbibigay awtoridad sa city mayor na mag-expropriate ng lupa para sa isang pampublikong proyekto, tulad ng pagtatayo ng dambana?","Authorizing the city mayor to expropriate land for a public project means that the city can legally acquire private property to use for purposes that serve the public interest. In this case, it allows the city to take ownership of the parcels of land necessary to build the Tandang Sora Shrine and the access road leading to it. This process might involve compensating the current landowners for their property. Expropriation is typically used when private land is deemed necessary for projects benefiting the community, such as infrastructure, public buildings, or historical monuments.","SP-0976, S-2000",Operative
What are the potential benefits of the Quezon City Government acquiring land for socialized housing projects?,Ano ang mga posibleng benepisyo ng pagkuha ng pamahalaang Quezon City ng lupa para sa mga proyekto ng pabahay na may sosyal na benepisyo?,"The potential benefits include providing secure and stable housing for informal settler families, improving their living conditions, and potentially reducing issues related to informal settlements. The development of socialized housing can lead to better community planning, access to public services, and an overall improvement in the quality of life for the beneficiaries.","SP-9074, S-2022",Introduction
What are the key reasons mentioned in the document for providing free postnatal supplements to breastfeeding mothers in Quezon City?,Ano ang mga pangunahing dahilan na binanggit sa dokumento para magbigay ng libreng postnatal supplements sa mga nagpapasusong ina sa Lungsod Quezon?,"The document highlights several reasons for providing free postnatal supplements to breastfeeding mothers in Quezon City. It points out the importance of breastfeeding as one of the most effective ways to ensure child health and survival, as emphasized by the World Health Organization (WHO). Breastfeeding provides essential antibodies and nutrients required by infants. The document also mentions that maternal malnutrition affects one in four mothers in the Philippines and that a healthy diet may not be sufficient to meet the nutrient requirements postpartum. Additionally, the high cost of drug prices in the Philippines and the economic impact of the COVID-19 pandemic have limited access to needed postnatal vitamins, which are crucial for postpartum recovery and the health of both mothers and babies.","SP-3146, S-2022",Preamble
What are the possible implications of granting a Certificate of Exception for a construction project under the Comprehensive Zoning Ordinance of 2016?,Ano ang mga posibleng implikasyon ng pagbibigay ng Certificate of Exception para sa isang proyekto ng konstruksyon sa ilalim ng Comprehensive Zoning Ordinance ng 2016?,"Granting a Certificate of Exception allows a construction project to deviate from certain restrictions outlined in the zoning ordinance. This means the project can proceed with its development plan even if it does not fully comply with existing zoning laws, as long as it meets other criteria such as not adversely affecting public health, safety, and welfare. It also implies that the project has gained the necessary local government approvals and does not face opposition from relevant community stakeholders, such as local barangay councils and homeowners.","SP-8979, S-2022",Preamble
What is the purpose of creating the Quezon City Market Coordinating Committee?,Ano ang layunin ng paglikha ng Quezon City Market Coordinating Committee?,"The purpose of creating the Quezon City Market Coordinating Committee is to provide advisory and coordination functions for the regulation of market operations in Quezon City. The committee is composed of city officials, including the City Administrator as Chairman, the City Market Administrator as Executive Officer, and heads from key departments, to ensure efficient administration and oversight of both government and privately operated public markets.","SP-0983, S-2000",Operative
What mechanisms are in place to ensure that Quezon City's procurement of goods and services adheres to environmental criteria?,Anong mga mekanismo ang nakalaan upang masiguro na ang pagbili ng mga kalakal at serbisyo sa Lungsod Quezon ay tumutugon sa mga pamantayang pangkapaligiran?,"The Quezon City Government is required to include at least one environmental criterion in the technical specifications for the procurement of all goods, services, and infrastructure projects. There is a specific Green Public Procurement (GPP) Team tasked with overseeing the implementation of this ordinance. The GPP Team's functions include monitoring and supervising the ordinance's implementation, developing standard environmental criteria for procurement, and reviewing purchase requests to ensure compliance with the green procurement plan. Heads of offices and members of the Bids and Awards Committee (BAC) have the responsibility to ensure compliance, and failure to include an environmental practice in procurement can result in administrative complaints against them.","SP-3107, S-2022",Operative
What is the primary purpose of creating a Technical Working Group as stated in the resolution?,Ano ang pangunahing layunin ng paglikha ng Technical Working Group ayon sa resolusyon?,"The primary purpose of creating a Technical Working Group is to consolidate and codify all Quezon City ordinances and resolutions that relate to the welfare, benefits, and privileges of senior citizens. This aims to make these ordinances and resolutions easily accessible and available for reference.","Sp-9057, S-2022",Operative
What are the conditions under which a former government official can purchase a vehicle previously assigned to them by the Quezon City Government?,Ano ang mga kundisyon kung saan maaaring bilhin ng dating opisyal ng gobyerno ang sasakyan na dating nakatalaga sa kanila ng Pamahalaang Lungsod ng Quezon?,"A former government official can purchase a vehicle previously assigned to them if they express their intention to buy it and are willing to pay the appraised value determined by the City Appraisal Committee. Additionally, the purchaser must also shoulder any taxes due and payable to the government.","SP-9068, S-2022",Preamble
What is the significance of the Quezon City Council congratulating a former councilor for being appointed as Chairperson of the MTRCB?,Ano ang kahalagahan ng pagbati ng Konseho ng Lungsod Quezon sa isang dating konsehal sa pagkakatalaga bilang Tagapangulo ng MTRCB?,"The significance lies in the recognition and commendation from the Quezon City Council for Diorella Maria G. Sotto-Antonio's appointment as Chairperson of the MTRCB. This gesture not only honors her past contributions as a councilor but also shows support for her new role. It serves to inspire and encourage others to bring recognition and service to the city and country, and it underscores the City's pride in having one of its former officials appointed to a national position.","SP-9011, S-2022",Introduction
What are the key contributions that led to Former Councilor Precious Hipolito Castelo receiving recognition from the Quezon City Council?,Ano ang mga pangunahing kontribusyon na nagdulot ng pagkilala ng Quezon City Council kay Former Councilor Precious Hipolito Castelo?,"Former Councilor Precious Hipolito Castelo was recognized for her dedicated service and outstanding role as a legislator, including her advocacy for laws promoting community resilience and quality housing programs, her efforts to institutionalize Quezon City University, and her focus on protecting the rights and welfare of women, youth, and children. Her contributions led to the passage of various landmark ordinances and resolutions during her tenure as City Councilor for three consecutive terms.","SP-7911, S-2019",Preamble
What is the implication of the amendments to Chapters Three and Four of the Quezon City Revenue Code on local taxpayers?,Ano ang implikasyon ng mga pagbabago sa Kabanata Tatlo at Apat ng Quezon City Revenue Code sa mga lokal na nagbabayad ng buwis?,"The amendments to Chapters Three and Four of the Quezon City Revenue Code aim to provide clearer and more simplified provisions that are easier for government assessors, revenue collectors, and taxpayers to understand. The changes are designed to align the Revenue Code with the Local Government Code, specifically concerning the tax rates. Importantly, these amendments do not seek to increase the current tax rates but rather to ensure conformity and clarity.","SP-1080, S-2001",Introduction
"What is the role of the Local Economic and Investment Promotions Officer (LEIPO) in supporting Micro, Small, and Medium Enterprises (MSMEs) in the city?","Ano ang papel ng Local Economic and Investment Promotions Officer (LEIPO) sa pagsuporta sa mga Micro, Small, at Medium Enterprises (MSMEs) sa lungsod?","The Local Economic and Investment Promotions Officer (LEIPO) is responsible for leading activities related to local government unit (LGU) investment facilitation and promotion, local enterprise development, and establishing support mechanisms for the growth of MSMEs. The LEIPO also implements mechanisms for business retention and expansion, as well as other economic activities to attract investments and generate employment.","SP-8987, S-2022",Preamble
What are the consequences for businesses in Quezon City that fail to install closed-circuit television systems as per the ordinance?,Ano ang mga konsekwensya para sa mga negosyo sa Lungsod Quezon na hindi nag-iinstall ng closed-circuit television systems ayon sa ordinansa?,"Businesses in Quezon City that fail to install closed-circuit television systems as specified in the ordinance will not be issued or have their business permits renewed. Additionally, they face a fine of Five Thousand Pesos (Php5,000.00) for any violation. Continued non-compliance, thirty days after initial findings, can lead to the suspension, revocation, or cancellation of their business permit.","SP-2695, S-2018",Operative
What are the potential consequences for individuals who violate the ordinance banning firecrackers and pyrotechnic devices in public places in Quezon City?,Ano ang mga posibleng konsekensya para sa mga indibidwal na lumalabag sa ordinansa na nagbabawal sa paputok at piroteknikong aparato sa mga pampublikong lugar sa Lungsod ng Quezon?,"Any person found to be violating the provisions of this Ordinance shall be penalized by a fine of Five Thousand Pesos (Php5,000.00) or imprisonment of one (1) year, or both such fine and imprisonment at the discretion of the court.","SP-2618, S-2017",Operative
What is the implication of authorizing the City Mayor to expropriate land for the Tandang Sora Shrine?,Ano ang kahulugan ng pag-authorize sa Mayor ng Lungsod na ekspropriyahin ang lupa para sa Tandang Sora Shrine?,"Authorizing the City Mayor to expropriate land means that the city government has the power to take private property for public use, such as creating the Tandang Sora Shrine, while compensating the landowner, in this case, Mr. Antonio Cabreros. This is intended to serve a public interest and is funded by the city.","SP-1085, S-2001",Operative
What are the potential implications of allowing a deviation from the zoning restrictions for Sun & Bin Transportation Corporation's taxi garage/motorpool location?,Ano ang mga potensyal na implikasyon ng pagpapahintulot ng paglihis mula sa mga zoning restrictions para sa lokasyon ng taxi garage/motorpool ng Sun & Bin Transportation Corporation?,"Allowing a deviation from the zoning restrictions could set a precedent for other businesses to request similar exemptions, potentially leading to changes in the character or intended use of the area as outlined by the existing Comprehensive Zoning Ordinance. This may also impact local traffic patterns, noise levels, and property values, affecting the quality of life and environment for nearby residents. However, since there was no objection from the Sangguniang Barangay and residents, it is viewed as beneficial for development in the area.","SP-8993, S-2022",Introduction
What is the purpose of adopting a Revised Comprehensive Land Use Plan for Quezon City?,Ano ang layunin ng pag-aampon ng Revised Comprehensive Land Use Plan para sa Lungsod ng Quezon?,"The purpose of adopting a Revised Comprehensive Land Use Plan for Quezon City is to address and integrate the significant changes and transformations that have occurred in the city's physical environment, ensure alignment with national and regional plans, and incorporate disaster risk reduction measures as mandated by recent significant laws.","SP-2069, S-2011",Preamble
What is the implication of authorizing the City Mayor to expropriate a larger parcel of land for the Tandang Sora Shrine project?,Ano ang magiging epekto ng pagbibigay ng kapangyarihan sa Punong Lungsod na mag-expropriate ng mas malaking bahagi ng lupa para sa proyekto ng Tandang Sora Shrine?,"The implication of authorizing the City Mayor to expropriate a larger parcel of land is that it enables the city to secure sufficient space that is not hindered by informal settlers, allowing for the proper development of the Tandang Sora Shrine and associated promenade. This can facilitate a more fitting and respectful tribute to the national heroine, Tandang Sora, by ensuring the shrine is placed in an appropriate setting.","SP-1597, S-2005",Operative
What are the potential benefits of granting a Certificate of Exception for this construction project in the community?,Ano ang maaaring maging benepisyo ng pagbibigay ng Certificate of Exception para sa proyektong ito sa komunidad?,"Granting a Certificate of Exception for the construction project has several potential benefits for the community. It allows the development to proceed in a manner that deviates from the standard restrictions, enabling flexibility in addressing specific community needs, such as providing necessary parking and office space. Additionally, since the project does not adversely affect public health, safety, and welfare, and aligns with the general pattern of development in the area, it could contribute positively to the community's growth and infrastructure improvement.","SP-8981, S-2022",Preamble
What are the implications of approving a supplemental budget for Quezon City for the fiscal year 2022?,Ano ang mga implikasyon ng pag-apruba ng isang supplemental na badyet para sa Lungsod ng Quezon para sa taon ng pananalapi 2022?,"Approving a supplemental budget for the Quezon City Government for fiscal year 2022 means additional funding is allocated to complete various programs and projects. It indicates that there was surplus money available from the previous fiscal year, which can now be used to meet operational and infrastructural needs, thereby potentially improving public services and infrastructure development.","SP-3136, S-2022",Preamble
What is the financial impact on the local government's budget for providing hazard pay to eligible personnel during the quarantine periods?,Ano ang magiging epekto sa badyet ng lokal na pamahalaan sa pagbibigay ng hazard pay sa mga karapat-dapat na tauhan sa panahon ng mga quarantine period?,"The financial impact on the local government's budget for providing hazard pay will involve the allocation of funds from the Fiscal Year 2021 Local Government Funds, with a maximum amount of Php500.00 per day per eligible personnel during the quarantine periods.","SP-3025, S-2021",Operative
"How does the ordinance allow Quezon City to regulate tax rates on businesses, and what limitations are imposed by the Local Government Code?","Paano pinahihintulutan ng ordinansa ang Lungsod Quezon na i-regulate ang mga rate ng buwis sa mga negosyo, at anong mga limitasyon ang ipinapataw ng Local Government Code?","The ordinance allows Quezon City to regulate tax rates on businesses within the city by giving the local government the power to create its own sources of revenue through taxes, fees, and charges. However, the Local Government Code imposes limitations, stating that these tax adjustments can only be made once every five years and that such adjustments cannot exceed 10% of the previously established rates. Additionally, the tax rates set by the city can only exceed those allowed for the province or municipality by up to 50%, except in the case of professional and amusement taxes.","SP-2236, S-2013",Preamble
What is the primary purpose of establishing the Quezon City Shelter Home for Senior Citizens?,Ano ang pangunahing layunin ng pagtatag ng Quezon City Shelter Home para sa mga nakatatanda?,"The primary purpose of establishing the Quezon City Shelter Home for Senior Citizens is to provide temporary shelter and immediate care for senior citizens who are abandoned, neglected, vagrant, and/or homeless. It serves as a transition house while the city government helps to contact their relatives or arranges their official transfer to appropriate institutions for their permanent custody and care, such as a home for the aged.","SP-2541, S-2016",Operative
What are the potential benefits for barangays in Quezon City if they receive the Seal of Good Housekeeping?,Ano ang mga posibleng benepisyo para sa mga barangay sa Quezon City kung sila ay makatanggap ng Seal of Good Housekeeping?,Barangays in Quezon City that receive the Seal of Good Housekeeping are entitled to a cash award. This award serves as a support fund to finance local development initiatives that align with both national and local government goals and strategic thrusts.,"SP-3114, S-2022",Operative
What role will the District OFWs' Help Desk play in supporting Overseas Filipino Workers and their families in Quezon City?,Anong papel ang gagampanan ng District OFWs' Help Desk sa pagsuporta sa mga Overseas Filipino Workers at kanilang pamilya sa Lungsod Quezon?,"The District OFWs' Help Desk will facilitate and coordinate the concerns of Overseas Filipino Workers (OFWs) and their families with proper government agencies. It aims to provide necessary and adequate assistance, ensuring that OFWs, including those who are displaced or in distress, have their concerns addressed promptly and effectively. Additionally, the Help Desk will serve as a center for information dissemination, counseling, and employment assistance. It will also work to prevent illegal recruitment and human trafficking through information drives.","SP-3336, S-2024",Operative
What is the significance of updating the Quezon City Children's Code with new ordinances related to child protection and welfare?,Ano ang kahalagahan ng pag-update sa Quezon City Children's Code gamit ang mga bagong ordinansa na may kaugnayan sa proteksyon at kapakanan ng mga bata?,"The update of the Quezon City Children's Code with new ordinances aims to strengthen the existing legal framework to better address current issues and emerging concerns affecting children. This includes institutionalizing health programs, regulating environments where children frequent, and enhancing services such as child protection and education, to ensure a safe and supportive environment for the development and well-being of children in Quezon City.","SP-2834, S-2019",Preamble
What impact does the ordinance have on senior citizens in Quezon City who require emergency medical care in city-owned hospitals?,Anong epekto ng ordinansa sa mga nakatatanda sa Lungsod ng Quezon na nangangailangan ng pang-emerhensiyang medikal na pangangalaga sa mga ospital na pag-aari ng lungsod?,"The ordinance grants resident registered senior citizens in Quezon City emergency medical benefit assistance of up to five thousand pesos (Php5,000.00) when they are admitted to an emergency room in any Quezon City-owned hospital. This assistance helps cover costs for immediate medical care, such as stat medicines, laboratory tests, x-rays, and other emergency services that may not be free under existing government provisions, thus providing financial relief for the elderly and their families.","SP-2598, S-2017",Operative
What is the purpose of the resolution mentioned in this document?,Ano ang layunin ng resolusyon na binanggit sa dokumentong ito?,"The purpose of the resolution is to extend the sincerest congratulations of the City Mayor, City Vice Mayor, and the City Council to Mr. Geraldo ""Jek"" B. Jumawan, Ms. Erlinda Paras, and Ms. Ariane Kristhia Rosauro for having two films awarded in the June 2022 New Jersey Film Awards.","SP-9014, S-2022",Operative
What are the incentives provided for developers who incorporate eco-friendly technologies into their building projects under this ordinance?,Ano ang mga insentibo na ibinibigay para sa mga developer na nag-iintegrate ng mga teknolohiyang makakalikasan sa kanilang mga proyekto ng gusali sa ilalim ng ordinansang ito?,"The ordinance provides a Green Building Tax Credit to developers who construct new green buildings or retrofit existing buildings into green buildings. This tax credit is designed to encourage the use of eco-friendly technologies, which can help improve biodiversity, public health, and reduce environmental degradation.","SP-1917, S-2009",Operative
